time my_pulse
0.000000000000000000e+00 0.000000000000000000e+00
1.000999999999999955e-11 2.489820910633271656e-01
2.001999999999999911e-11 4.823705788806903483e-01
3.002999999999999866e-11 6.854266737644816310e-01
4.003999999999999822e-11 8.452970117679120543e-01
5.004999999999999777e-11 9.518309272149854117e-01
6.005999999999999733e-11 9.982297602176551932e-01
7.006999999999999688e-11 9.814863728986408242e-01
8.007999999999999643e-11 9.025861197039998229e-01
9.008999999999999599e-11 7.664554898787236947e-01
1.000999999999999955e-10 5.816605766910909470e-01
1.101099999999999951e-10 3.598734228175874406e-01
1.201199999999999947e-10 1.151391339708792150e-01
1.301299999999999942e-10 -1.370105078129927045e-01
1.401399999999999938e-10 -3.805411946500294462e-01
1.501499999999999933e-10 -5.999357560165146097e-01
1.601599999999999929e-10 -7.811844988358384034e-01
1.701699999999999924e-10 -9.126829248568812947e-01
1.801799999999999920e-10 -9.859791128119427261e-01
1.901899999999999915e-10 -9.963223610021262333e-01
2.001999999999999911e-10 -9.429771449699655417e-01
2.102099999999999906e-10 -8.292812785446378454e-01
2.202199999999999902e-10 -6.624434405613190968e-01
2.302299999999999897e-10 -4.530919103478039389e-01
2.402399999999999893e-10 -2.146023751374264710e-01
2.502499999999999889e-10 3.775300119834537615e-02
2.602599999999999884e-10 2.877813583195847347e-01
2.702699999999999880e-10 5.194075743108537146e-01
2.802799999999999875e-10 7.177088100241942881e-01
2.902899999999999871e-10 8.698785266460834498e-01
3.002999999999999866e-10 9.660575439313674462e-01
3.103099999999999862e-10 9.999779624775382292e-01
3.203199999999999857e-10 9.693775757562290707e-01
3.303299999999999853e-10 8.761570075486876386e-01
3.403399999999999848e-10 7.262683019992910438e-01
3.503499999999999844e-10 5.293410120250864326e-01
3.603599999999999840e-10 2.980688611474841543e-01
3.703699999999999835e-10 4.739568817844286991e-02
3.803799999999999831e-10 -2.064473999459437437e-01
3.903899999999999826e-10 -4.469918187114333419e-01
4.003999999999999822e-10 -6.586004277356427572e-01
4.104099999999999817e-10 -8.274861813812410816e-01
4.204199999999999813e-10 -9.426140223723959988e-01
4.304299999999999808e-10 -9.964267954684910000e-01
4.404399999999999804e-10 -9.853471234630558628e-01
4.504499999999999799e-10 -9.100215530363072736e-01
4.604599999999999795e-10 -7.752899269251234404e-01
4.704699999999999274e-10 -5.898807990682684022e-01
4.804799999999999786e-10 -3.658516212210051188e-01
4.904900000000000299e-10 -1.178092213709577007e-01
5.004999999999999777e-10 1.380393408980103154e-01
5.105099999999999256e-10 3.849440884650338068e-01
