time my_pulse
0.000000000000000000e+00 0.000000000000000000e+00
1.000999999999999955e-11 1.244910455316635911e+01
2.001999999999999911e-11 2.411852894403451586e+01
3.002999999999999866e-11 3.427133368822408244e+01
4.003999999999999822e-11 4.226485058839560338e+01
5.004999999999999777e-11 4.759154636074926970e+01
6.005999999999999733e-11 4.991148801088275633e+01
7.006999999999999688e-11 4.907431864493204188e+01
8.007999999999999643e-11 4.512930598519999137e+01
9.008999999999999599e-11 3.832277449393618696e+01
1.000999999999999955e-10 2.908302883455454690e+01
1.101099999999999951e-10 1.799367114087937125e+01
1.201199999999999947e-10 5.756956698543961082e+00
1.301299999999999942e-10 -6.850525390649635504e+00
1.401399999999999938e-10 -1.902705973250147053e+01
1.501499999999999933e-10 -2.999678780082572871e+01
1.601599999999999929e-10 -3.905922494179191773e+01
1.701699999999999924e-10 -4.563414624284406784e+01
1.801799999999999920e-10 -4.929895564059713564e+01
1.901899999999999915e-10 -4.981611805010631144e+01
2.001999999999999911e-10 -4.714885724849827398e+01
2.102099999999999906e-10 -4.146406392723189072e+01
2.202199999999999902e-10 -3.312217202806595395e+01
2.302299999999999897e-10 -2.265459551739019872e+01
2.402399999999999893e-10 -1.073011875687132388e+01
2.502499999999999889e-10 1.887650059917268752e+00
2.602599999999999884e-10 1.438906791597923629e+01
2.702699999999999880e-10 2.597037871554268662e+01
2.802799999999999875e-10 3.588544050120971463e+01
2.902899999999999871e-10 4.349392633230417005e+01
3.002999999999999866e-10 4.830287719656837453e+01
3.103099999999999862e-10 4.999889812387691279e+01
3.203199999999999857e-10 4.846887878781145531e+01
3.303299999999999853e-10 4.380785037743438437e+01
3.403399999999999848e-10 3.631341509996455130e+01
3.503499999999999844e-10 2.646705060125432141e+01
3.603599999999999840e-10 1.490344305737420783e+01
3.703699999999999835e-10 2.369784408922143371e+00
3.803799999999999831e-10 -1.032236999729718718e+01
3.903899999999999826e-10 -2.234959093557166554e+01
4.003999999999999822e-10 -3.293002138678213697e+01
4.104099999999999817e-10 -4.137430906906205053e+01
4.204199999999999813e-10 -4.713070111861979683e+01
4.304299999999999808e-10 -4.982133977342454756e+01
